Source,Date,Text,Positive,Neutral,Negative,Compound,Tweets Ago
BBCWorld,Sat Aug 25 09:31:06 +0000 2018,"RT @BBCBreaking: Pope Francis lands in Ireland

Follow live reporting: https://t.co/ASSLPyq5B9 #PopeInIreland",0.0,1.0,0.0,0.0,96
BBCWorld,Sat Aug 25 09:14:58 +0000 2018,"How Ireland has changed since the last papal visit in 1979

Follow live reporting: https://t.co/Y43EdhR4ci… https://t.co/NQrawaWfTr",0.0,1.0,0.0,0.0,97
BBCWorld,Sat Aug 25 08:55:24 +0000 2018,"Alan ""Bud"" Jackson dies after Isle of Man crash https://t.co/nIF9FCIq2R",0.0,0.769,0.231,-0.4019,98
BBCWorld,Sat Aug 25 07:55:21 +0000 2018,RT @BBCNewsNI: Pope Francis in en route to Dublin. The plane bringing @Pontifex to Ireland left Rome about an hour ago #PopeInIreland https…,0.0,1.0,0.0,0.0,99
BBCWorld,Sat Aug 25 07:40:02 +0000 2018,RT @BBCNews: Elon Musk will no longer take Tesla private https://t.co/Ank9PMrWxK,0.0,0.82,0.18,-0.296,100
CBSNews,Mon Aug 27 16:14:41 +0000 2018,"Philippine priest says ""death squad"" has forced him into hiding https://t.co/tqiLf3NcIZ https://t.co/ybPLyHPxoG",0.0,0.497,0.503,-0.8442,1
CBSNews,Mon Aug 27 16:01:11 +0000 2018,"Reporter: Mr. President, any thoughts on John McCain? Any thoughts on John McCain, sir? 

President Trump did not a… https://t.co/XSTmIL3HWG",0.0,1.0,0.0,0.0,2
CBSNews,Mon Aug 27 16:01:08 +0000 2018,"Reporter: Mr. President, any thoughts on John McCain? Any thoughts on John McCain, sir? 

President Trump did not a… https://t.co/Mi76uT9S2c",0.0,1.0,0.0,0.0,3
CBSNews,Mon Aug 27 16:00:01 +0000 2018,Honoring John McCain: The week of events celebrating the life of the late senator https://t.co/J1jH9Xg6mZ https://t.co/OeGdBxTeqN,0.333,0.667,0.0,0.7906,4
CBSNews,Mon Aug 27 15:55:56 +0000 2018,"""I really hope... that the part [of the trade deal] with Canada will be materializing in a very quick fashion,"" Mex… https://t.co/RJ8PcQMVGR",0.0,1.0,0.0,0.0,5
CBSNews,Mon Aug 27 15:52:52 +0000 2018,.@POTUS: “I like to call this deal United States-Mexico Trade Agreement. I think it's an elegant name. I think NAFT… https://t.co/aeV7xLDi5q,0.436,0.564,0.0,0.891,6
CBSNews,Mon Aug 27 15:51:15 +0000 2018,"""It's a very simple negotiation. It could end in one day and we'd take in a lot of money the following day,"" @POTUS… https://t.co/axAKxRvASi",0.0,1.0,0.0,0.0,7
CBSNews,Mon Aug 27 15:49:17 +0000 2018,"""As far as Canada is concerned, we haven't started with Canada yet. We wanted to do Mexico and see if that was poss… https://t.co/RK2g5CHDz5",0.0,1.0,0.0,0.0,8
CBSNews,Mon Aug 27 15:47:00 +0000 2018,"“It is our wish, Mr. President, that now Canada will also be able to be incorporated in all of this .. And I assume… https://t.co/xwmVilg3CN",0.105,0.895,0.0,0.4019,9
CBSNews,Mon Aug 27 15:44:46 +0000 2018,Pres. Trump has conference call with Mexican President Enrique Peña Nieto to congratulate him on new trade deal: “I… https://t.co/PqycCEPDzl,0.144,0.856,0.0,0.4939,10
CBSNews,Mon Aug 27 15:44:44 +0000 2018,Fan charged after rushing stage at Beyoncé and Jay-Z concert in Atlanta https://t.co/DZ2ZC1q0q1 https://t.co/owmOACVKdJ,0.143,0.745,0.112,0.128,11
CBSNews,Mon Aug 27 15:40:39 +0000 2018,BREAKING: President Trump makes announcement on trade deal with Mexico that will not include Canada or bear the NAF… https://t.co/RS15uJ050C,0.0,1.0,0.0,0.0,12
CBSNews,Mon Aug 27 15:24:53 +0000 2018,BREAKING: President Trump has reportedly reached an agreement on a new trade deal with Mexico that will not include… https://t.co/7yObjYK1cq,0.213,0.787,0.0,0.5574,13
CBSNews,Mon Aug 27 15:04:31 +0000 2018,Ostrich skin and Neo-Viagra? A shopping guide to North Korea https://t.co/CT4f582YEA https://t.co/a8ZxNUQGOg,0.0,1.0,0.0,0.0,14
CBSNews,Mon Aug 27 15:03:30 +0000 2018,SOON: President Trump to make trade announcement from Oval Office. U.S. and Mexico expected to make revised NAFTA d… https://t.co/GyYiYur7Nj,0.0,1.0,0.0,0.0,15
CBSNews,Mon Aug 27 14:49:50 +0000 2018,States move to limit workplace confidentiality agreements https://t.co/NaOqh61cn6 https://t.co/DDRRdWiI3t,0.208,0.792,0.0,0.2732,16
CBSNews,Mon Aug 27 14:34:30 +0000 2018,U.S. strike allegedly kills senior ISIS commander in Afghanistan https://t.co/PniFzEwL89 https://t.co/XRw088q0gD,0.0,0.643,0.357,-0.6124,17
CBSNews,Mon Aug 27 14:19:46 +0000 2018,"""Killer robots"" to be focus of new UN-hosted talks https://t.co/arotpcPnb1 https://t.co/d0PL0EBnL1",0.0,0.699,0.301,-0.6486,18
